Datetime,Name,Epochs,Description,Accuracy,Precision,Recall,F1
2024-09-02 15:18:10,model_multiclass_100_CNN_LSTM_2024-09-02.pth,28,"2 layer CNN (32 and 64 output channels) with final 2 Dense Layers (512 and 39) result concatenated with   2 LSTMs (hidden_size=32),  from mfcc with 2 Dense Layers (64 and 16) with a final Lazy Linear layer output of 39. Using custom audio with normalized audio. n_fft=7, hop_length=4450",0.6130030959752322,0.6335073202561406,0.6164813237963939,0.6138285816947197
2024-09-02 16:33:24,model_multiclass_100_CNN_LSTM_2024-09-02.pth,48,"2 layer CNN (32 and 64 output channels) with final 2 Dense Layers (512 and 39) result concatenated with   2 LSTMs (hidden_size=32),  from mfcc with 2 Dense Layers (64 and 16) with a final Lazy Linear layer output of 39. Using custom audio with normalized and denoised audio. n_fft=10, hop_length=10",0.6091030789825971,0.6386252282685957,0.6266708350219435,0.6174939274466684
2024-09-02 21:33:13,model_multiclass_100_CNN_LSTM_2024-09-02.pth,64,"2 layer CNN (32 and 64 output channels) with final 2 Dense Layers (512 and 39) result concatenated with   2 LSTMs (hidden_size=32),  from mfcc with 2 Dense Layers (64 and 16) with a final Lazy Linear layer output of 39. Using custom audio with normalized audio. n_fft=7, hop_length=4450. Corrected audio length bug.",0.6331269349845201,0.6686616843489511,0.6313832081187404,0.6283138666064086
2024-09-02 21:54:19,model_multiclass_100_CNN_LSTM_2024-09-02.pth,83,"2 layer CNN (32 and 64 output channels) with final 2 Dense Layers (512 and 39) result concatenated with   2 LSTMs (hidden_size=32),  from mfcc with 2 Dense Layers (64 and 16) with a final Lazy Linear layer output of 39. Using custom audio with normalized and denoised audio. n_fft=10, hop_length=10. Corrected audio length bug.",0.6880856760374833,0.7256974147756892,0.6940655968151386,0.6916052558847776
2024-09-02 22:20:23,model_multiclass_100_CNN_LSTM_2024-09-02.pth,79,"2 layer CNN (32 and 64 output channels) with final 2 Dense Layers (512 and 39) result concatenated with   2 LSTMs (hidden_size=32),  from mfcc with 2 Dense Layers (64 and 16) with a final Lazy Linear layer output of 39. Using custom audio with normalized audio. n_fft=7, hop_length=4450. Using average audio length.",0.653250773993808,0.6971889226184589,0.6441354315298163,0.6451239933662445
2024-09-02 22:40:22,model_multiclass_100_CNN_LSTM_2024-09-02.pth,79,"2 layer CNN (32 and 64 output channels) with final 2 Dense Layers (512 and 39) result concatenated with   2 LSTMs (hidden_size=32),  from mfcc with 2 Dense Layers (64 and 16) with a final Lazy Linear layer output of 39. Using custom audio with normalized and denoised audio. n_fft=10, hop_length=10. Using average audio length.",0.6947791164658634,0.7254695092748286,0.7083659366348307,0.6968466430830708
2024-09-02 22:51:54,model_multiclass_100_CNN_LSTM_2024-09-02.pth,60,"2 layer CNN (32 and 64 output channels) with final 2 Dense Layers (512 and 36) result concatenated with   2 LSTMs (hidden_size=32),  from mfcc with 2 Dense Layers (64 and 16) with a final Lazy Linear layer output of 36. Using audio from Dataset-for-Binary. n_fft=1024, hop_length=225. Using average audio length.",0.6937669376693767,0.7252511062495581,0.7041351780935114,0.6946443610956592
2024-09-02 23:00:42,model_multiclass_100_CNN_LSTM_2024-09-02.pth,63,"2 layer CNN (32 and 64 output channels) with final 2 Dense Layers (512 and 36) result concatenated with   2 LSTMs (hidden_size=32),  from mfcc with 2 Dense Layers (64 and 16) with a final Lazy Linear layer output of 36. Using audio from Dataset-for-Binary. n_fft=1024, hop_length=225. Audio length set at original 14400ms",0.5907859078590786,0.6279518382040313,0.619757865591199,0.5945392240664257
2024-09-04 16:00:35,model_multiclass_100_CoAtNetImp_2024-09-04.pth,45,"Imported CoAtNet model, with 2 Conv layers and then 2 Attention layers followed by a fully connected layer. Patience=10. Using custom audio with normalized audio.. Test from IdeaPad. did 45 epochs. 39 keys recorded.n_fft=7, hop_length=4450. Using np.average(fold_results)",0.6374903175832688,0.6934576221832058,0.6478120998530884,0.641847026024842
2024-09-04 17:02:43,model_multiclass_100_CoAtNetImp_2024-09-04.pth,41,"Imported CoAtNet model, with 2 Conv layers and then 2 Attention layers followed by a fully connected layer. Patience=10. Using custom audio with normalized and denoised audio. Test from IdeaPad. Did 41 epochs. 39 keys recorded. n_fft=10, hop_length=10. Using np.average(fold_results)",0.6255860683188211,0.6928594553133849,0.6424849532766169,0.6505649843517068
2024-09-04 17:30:13,model_multiclass_100_CoAtNetImp_2024-09-04.pth,48,"Imported CoAtNet model, with 2 Conv layers and then 2 Attention layers followed by a fully connected layer. Patience=10. Using custom audio with normalized and denoised audio. Test from IdeaPad. Did 48 epochs. 39 keys recorded. n_fft=10, hop_length=10. Using np.average(fold_results)",0.6322839919624916,0.698194524303296,0.6520379113141626,0.6483915635431388
2024-09-04 18:02:44,model_multiclass_100_CNN_LSTM_2024-09-04.pth,43,"2 layer CNN (32 and 64 output channels) with final 2 Dense Layers (512 and 39) result concatenated with   2 LSTMs (hidden_size=32),  from mfcc with 2 Dense Layers (64 and 16) with a final Lazy Linear layer output of 39. Using custom audio with normalized and denoised audio. n_fft=10, hop_length=10. Using np.average(fold_results). Using updated model from new version.",0.4109772423025435,0.4666255259408131,0.4292066380640524,0.41247188227568415
